VEHICLE_ID,YEAR,MAKE,MODEL
4006223,2016,SUBARU,LEGACY 2.5I LTD VDC
4006242,2018,SUBARU,LEGACY 2.5I LTD VDC
4006245,2015,SUBARU,LEGACY 2.5I LTD VDC NAVI
4006261,2017,SUBARU,LEGACY 2.5I LTD VDC NAVI
4006275,2015,SUBARU,LEGACY WITH EYESIGHT 2.5I LTD VDC NAVI
4006280,2018,SUBARU,LEGACY W/ EYESIGHT 2.5I LTD VDC NAVI
4006318,2017,SUBARU,LEGACY W/ EYESIGHT 2.5I SPORT VDC
4006321,2018,SUBARU,LEGACY 2.5I SPT VDC
4006326,2017,SUBARU,LEGACY 2.5I SPT VDC
4006338,2018,SUBARU,LEGACY W/ EYESIGHT 2.5I SPORT VDC NAVI
4006526,2015,SUBARU,LEGACY 3.6R LTD VDC
4006527,2016,SUBARU,LEGACY 3.6R LTD VDC
4006534,2017,SUBARU,LEGACY 3.6R LTD VDC
4006535,2018,SUBARU,LEGACY 3.6R LTD VDC
4006538,2015,SUBARU,LEGACY 3.6R LTD VDC NAVI
4006543,2016,SUBARU,LEGACY WITH EYESIGHT 3.6R LTD VDC NAVI
4006765,2010,SUBARU,FORESTER 2.5X VDC
4006773,2010,SUBARU,IMPREZA WRX VDC PREM. PKG NAVI
4006778,2015,SUBARU,IMPREZA 2.0I VDC
4006807,2017,SUBARU,IMPREZA 2.0I PREM. VDC
4006808,2018,SUBARU,IMPREZA 2.0I PREM. VDC
4006816,2018,SUBARU,IMPREZA W/ EYESIGHT 2.0I PREM VDC
4006828,2018,SUBARU,IMPREZA 2.0I SPT VDC
4006847,2017,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT VDC
4006848,2018,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT VDC
4006854,2017,SUBARU,IMPREZA 2.0I LTD VDC
4006856,2018,SUBARU,IMPREZA 2.0I LTD VDC
4006859,2017,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC
4006860,2018,SUBARU,IMPREZA W/ EYESIGHT 2.0I LTD VDC
4006869,2018,SUBARU,IMPREZA W/ EYESIGHT 2.0I LTD VDC NAVI
4006899,2017,SUBARU,IMPREZA 2.0I PREM. VDC
4006924,2017,SUBARU,IMPREZA 2.0I SPT VDC
4006951,2017,SUBARU,IMPREZA 2.0I LTD VDC
4006952,2018,SUBARU,IMPREZA 2.0I LTD VDC
4006954,2017,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC
4006967,2017,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC NAVI
4006974,2011,SUBARU,IMPREZA WRX VDC/LTD
4006995,2010,SUBARU,FORESTER 2.5X VDC PREM. PKG
4006996,2010,SUBARU,FORESTER 2.5XT LTD NAVI VDC
4006997,2011,SUBARU,FORESTER 2.5X LTD VDC
4006998,2013,SUBARU,FORESTER 2.5X LTD VDC
4007000,2014,SUBARU,FORESTER 2.5I PREM. VDC
4007001,2015,SUBARU,FORESTER 2.5I PREM. VDC
4007002,2015,SUBARU,FORESTER W/ EYESIGHT 2.5I PREM VDC
4008719,2012,SUBARU,OUTBACK 2.5I VDC
4008720,2013,SUBARU,OUTBACK 2.5I VDC
4008721,2010,SUBARU,OUTBACK 2.5I VDC
4008724,2011,SUBARU,OUTBACK 2.5I VDC
4008727,2014,SUBARU,OUTBACK 2.5I VDC
4008838,2013,SUBARU,OUTBACK 2.5I PREM. VDC
4008839,2010,SUBARU,OUTBACK 2.5I PREM. VDC
4008840,2011,SUBARU,OUTBACK 2.5I PREM. VDC
4008849,2014,SUBARU,OUTBACK 2.5I PREM. VDC
4008855,2012,SUBARU,OUTBACK 2.5I PREM. VDC
4009236,2012,SUBARU,OUTBACK 2.5I LTD VDC
4009238,2013,SUBARU,OUTBACK 2.5I LTD VDC
4009429,2011,SUBARU,OUTBACK 2.5I LTD VDC NAVI
4009432,2010,SUBARU,OUTBACK 2.5I LTD VDC NAVI
4009434,2012,SUBARU,OUTBACK 2.5I LTD VDC NAVI
4009435,2013,SUBARU,OUTBACK 2.5I LTD VDC NAVI
4009540,2014,SUBARU,OUTBACK W/ EYESIGHT 2.5I LTD VDC NAVI
4009549,2013,SUBARU,OUTBACK WITH EYESIGHT 2.5I LTD VDC
4009577,2013,SUBARU,OUTBACK WITH EYESIGHT 2.5I LTD VDC NAVI
4010311,2012,SUBARU,OUTBACK 3.6R VDC
4010312,2013,SUBARU,OUTBACK 3.6R VDC
4010313,2011,SUBARU,OUTBACK 3.6R VDC
4010320,2010,SUBARU,OUTBACK 3.6R VDC
