,VEHICLE_ID,CREDIT_SCORE,MALE,FEMALE,AGE
13172,7409184,772.8,5,5,31.0
13173,7415701,770.0338983050848,19,40,32.728813559322035
13174,7416618,743.1333333333333,5,10,28.466666666666665
13175,7418154,758.5945945945946,25,12,64.48648648648648
13176,7418317,749.0,4,1,49.6
13177,7422007,847.0,4,2,47.666666666666664
13178,7422778,802.25,1,3,35.5
13179,7426470,832.6785714285714,16,12,38.892857142857146
13180,7428240,746.7850467289719,39,68,42.88785046728972
13181,7428585,847.0,1,1,47.5
13182,7428941,824.0,1,1,31.0
13183,7431795,847.0,3,1,42.5
13184,7448053,780.9,9,11,45.95
13185,7448691,715.0,8,7,34.8
13186,7454798,741.1538461538462,23,29,38.92307692307692
13187,7459050,815.9583333333334,9,15,45.333333333333336
13188,7459354,753.6657754010695,164,210,40.05347593582888
13189,7459887,764.1538461538462,11,15,44.23076923076923
13190,7460517,782.6911764705883,25,43,59.411764705882355
13191,7466815,795.7916666666666,13,11,65.70833333333333
13192,7468123,636.0,2,1,32.666666666666664
13193,7471115,805.8461538461538,6,7,41.15384615384615
13194,7472294,800.5714285714286,12,9,31.19047619047619
13195,7472823,750.0,3,3,69.5
13196,7486786,808.7142857142857,8,6,56.0
13197,7486866,833.3333333333334,2,4,40.666666666666664
13198,7495230,722.0,1,4,27.6
13199,7495919,797.5714285714286,3,4,35.57142857142857
13200,7496031,768.25,3,5,40.75
13201,7497448,627.2222222222222,2,7,41.333333333333336
13202,7498167,804.8285714285714,15,20,58.285714285714285
13203,7498652,847.0,1,1,38.0
13204,7500108,777.625,6,2,44.0
13205,7514401,811.0,1,1,75.0
13206,7521103,771.4761904761905,12,9,38.857142857142854
13207,7522923,847.0,2,2,33.5
13208,7195372,651.8333333333334,4,2,45.166666666666664
13209,7199397,715.875,46,58,40.76923076923077
13210,7200113,780.2,2,8,39.7
13211,7258892,801.3333333333334,2,1,37.666666666666664
13212,7289514,839.3333333333334,2,1,41.666666666666664
13213,7289587,772.8,2,3,35.0
13214,7303398,750.2,4,1,44.8
13215,7308833,532.0,1,1,38.0
13216,7319034,507.5,1,1,62.5
13217,7325377,847.0,1,1,39.5
13218,7331924,847.0,2,2,39.25
13219,7334254,734.6923076923077,28,11,37.256410256410255
13220,7341214,774.75,7,1,52.25
13221,7353244,847.0,1,1,31.0
13222,7371981,847.0,1,1,48.0
13223,7386892,847.0,1,2,51.0
13224,7393740,838.0,3,1,57.25
13225,7396287,793.25,3,1,36.0
13226,7396425,743.016,111,139,38.608
13227,7399454,773.8301886792453,23,30,45.075471698113205
13228,7410167,847.0,3,2,35.8
13229,7416358,685.9230769230769,5,8,41.61538461538461
13230,7421296,532.0,3,1,33.0
13231,7424681,842.5,5,3,43.75
13232,7431862,812.7142857142857,4,3,60.0
13233,7434786,735.5388349514564,87,119,41.00970873786408
13234,7435048,824.1666666666666,3,9,54.666666666666664
13235,7435979,746.7027027027027,20,17,32.810810810810814
13236,7439884,745.25,1,3,33.0
13237,7443496,782.0909090909091,5,6,55.72727272727273
13238,7459040,831.3529411764706,11,6,52.411764705882355
13239,7459948,792.3214285714286,11,17,39.892857142857146
13240,7461612,684.8372093023256,22,21,37.55813953488372
13241,7464104,798.7333333333333,8,7,43.333333333333336
13242,7466507,823.1923076923077,14,12,40.07692307692308
13243,7469041,847.0,1,1,30.0
13244,7472240,745.8571428571429,5,2,45.285714285714285
13245,7472272,760.5,1,1,44.5
13246,7475567,847.0,1,1,48.0
13247,7475709,768.2,1,4,30.8
13248,7486426,808.7307692307693,19,7,52.76923076923077
13249,7491819,706.4736842105264,41,35,45.23684210526316
13250,7492426,842.2413793103449,19,10,37.96551724137931
13251,7494086,752.2857142857143,4,3,45.857142857142854
13252,7499128,824.0,1,1,40.5
13253,7499917,835.5,1,1,34.5
13254,7401728,806.3333333333334,7,5,31.583333333333332
13255,7513530,847.0,1,1,58.5
13256,7516028,817.6315789473684,13,6,42.68421052631579
13257,7518181,666.0,1,1,37.0
13258,7421825,847.0,4,3,51.142857142857146
13259,7195322,776.4615384615385,8,18,41.15384615384615
13260,7199315,847.0,1,2,28.666666666666668
13261,7200355,792.5555555555555,3,6,48.111111111111114
13262,7290099,847.0,2,1,66.0
13263,7293456,817.8,3,2,39.2
13264,7308503,756.5555555555555,11,7,41.55555555555556
13265,7341512,380.0,2,1,30.333333333333332
13266,7343892,746.1538461538462,5,8,43.30769230769231
13267,7344295,711.1764705882352,10,7,44.294117647058826
13268,7345947,804.25,5,3,45.75
13269,7347243,820.1666666666666,4,2,39.333333333333336
13270,7386709,764.5882352941177,8,9,41.470588235294116
13271,7391645,815.3333333333334,2,4,60.833333333333336
13272,7394049,847.0,1,1,55.5
13273,7394055,688.9285714285714,6,8,41.285714285714285
13274,7396208,824.0,1,1,23.0
13275,7396385,782.25,6,14,30.95
13276,7397807,778.6111111111111,10,8,51.94444444444444
13277,7403315,754.8571428571429,5,2,43.142857142857146
13278,7404167,762.5625,7,9,37.25
13279,7405802,666.0,1,3,27.75
13280,7408750,781.8333333333334,8,4,39.416666666666664
13281,7417406,716.5454545454545,30,25,46.07272727272727
13282,7421208,824.0,3,1,30.0
13283,7421343,710.0,1,1,54.5
13284,7421844,743.2105263157895,13,6,37.473684210526315
13285,7422519,771.2777777777778,10,8,43.388888888888886
13286,7427153,824.0,1,1,63.5
13287,7427889,783.5535714285714,29,27,39.410714285714285
13288,7434783,755.2361111111111,16,56,44.888888888888886
13289,7440233,710.0,1,1,41.0
13290,7443356,847.0,1,1,49.5
13291,7443413,819.7037037037037,14,13,42.592592592592595
13292,7444539,761.9375,7,9,34.0625
13293,7448594,727.6428571428571,6,8,39.0
13294,7452604,710.0,1,1,32.5
13295,7455441,783.3846153846154,22,17,44.8974358974359
13296,7457253,775.8571428571429,8,6,44.92857142857143
13297,7458093,847.0,6,7,48.92307692307692
13298,7458118,847.0,1,1,41.0
13299,7459325,759.0,4,12,37.8125
13300,7459854,838.0,6,2,50.125
13301,7460129,802.2222222222222,3,6,38.0
13302,7465251,751.3698630136986,26,47,46.3013698630137
13303,7466159,799.6363636363636,8,3,47.18181818181818
13304,7471332,782.1111111111111,5,4,48.44444444444444
13305,7471475,815.5,9,11,39.9
